IDU,Inf,Nome,Clube,Posição,Melhor Papel,Idade,Jogos,Gls,xG,xG/90,Remt/90,Remt/90,% Remates,Ast,xA,xA/90,Ps C/90,Passes Pr/90,PC/90,% Passe,Sof/90,xGP/90,% Df,Crz Con/90,Crz T/90,Fnt/90,Cab Dec/90,Des Dec/90,Des/90,M Des,Pres C/90,Poss Con/90,Cl Med,Valor Estimado,Capacidade,Pé Esquerdo,Pé Direito,Nac,2ª Nac,Altura,Personalidade,Valor,Preço Exigido,TSB,Soc,Acl,Agi,Agr,Aer,Ant,AF,Bra,Cab,Cnt,Cmd,Cmp,Com,Cnc,Cruz,Decis,Des,Det,Eql,Exc,Fnl,Fnt,For,Imp,Imp,In Tr,Jg Mãos,Lan,LnçL,Lid,Liv,Mar,Pen,Pas,Pont,Pos,Pri,Ref,Rem Lo,Res,SB,Téc,Tr Eq,1x1,Vel,Vis
85139014,,- -,-,,Ponta-de-Lança,24,11,7,"5,72","0,53","4,16","2,50",60%,2,"1,54","0,14","23,96","1,20","2,22",85%,-,-,-,"0,65","3,05","3,14","0,00","0,00","1,29",78%,"3,33","4,25",7.54,Não está à venda,,Razoável,Muito Forte,FRA,,178 cm,Cheio de Energia,-,-,2,4,20,16,6,3,17,15,12,7,13,3,18,3,14,13,15,4,15,15,1,17,18,11,18,8,11,2,3,4,14,12,4,18,15,3,3,18,1,13,15,18,17,10,1,20,15
28108494,,- -,-,,Construtor de Jogo Avançado,23,11 (1),2,"2,47","0,26","2,63","0,84",32%,3,"1,70","0,18","36,63","3,68","2,00",83%,-,-,-,"0,53","2,84","3,05","0,00","0,00","2,53",83%,"6,53","8,53",7.35,"1,61MM R$ - 1,93MM R$",,Muito Forte,Razoável,ENG,,171 cm,Bastante Ambicioso,-,-,3,3,15,17,7,1,14,14,13,8,13,2,15,1,15,13,14,8,14,15,3,14,17,9,16,7,16,2,4,5,8,13,8,12,17,2,9,17,1,12,15,16,17,14,4,16,16
19302146,,- -,-,,Extremo invertido,23,7,8,"3,74","0,56","3,46","1,95",57%,0,"2,37","0,36","25,69","1,50","1,80",87%,-,-,-,"0,30","0,90","2,40","0,00","0,00","2,55",94%,"4,66","3,91",7.77,690M R$ - 970M R$,,Bastante Forte,Muito Forte,BRA,ESP,177 cm,Perfeccionista,-,-,4,4,19,16,16,2,14,15,17,11,7,1,14,2,12,13,15,6,18,14,2,16,18,12,16,8,14,1,1,4,13,8,3,12,14,2,9,13,2,12,15,16,15,13,2,18,14
28124579,,- -,-,,Extremo invertido,20,10 (1),2,"3,41","0,43","3,49","1,37",39%,0,"0,72","0,09","43,63","1,25","0,50",91%,-,-,-,"0,12","0,50","2,24","0,12","0,12","1,37",79%,"5,24","7,98",7.04,460M R$ - 560M R$,,Bastante Forte,Muito Forte,GER,ENG,183 cm,Alegre,-,-,2,1,15,17,12,2,15,16,12,8,6,1,14,4,12,8,14,12,16,17,1,13,19,10,18,11,15,1,2,6,7,7,9,12,15,3,11,16,3,13,13,15,18,15,4,16,15
67293495,,- -,-,,Construtor de Jogo Avançado,20,7,1,"1,00","0,15","1,47","0,73",50%,2,"3,05","0,45","59,02","6,75","1,32",88%,-,-,-,"0,15","0,44","1,03","0,00","0,00","2,20",68%,"4,26","10,13",7.27,680M R$ - 850M R$,,Bastante Forte,Muito Forte,ESP,,174 cm,Bastante Profissional,-,-,2-6,1,15,15-18,11,1-5,17-20,16,11,8,7-11,1-2,16,3-6,13-17,14,16,8-12,14,14,1-4,11,18,10,17,8,15,1-2,3-6,6-9,8-11,7-11,4-8,11,17,1-3,6-10,18,1-4,12,16,13,17,13,1-4,14,19
53095137,Ass,- -,-,,Construtor de Jogo Avançado,24,11,2,"2,07","0,20","2,03","0,48",24%,6,"3,01","0,29","49,58","5,59","2,60",82%,-,-,-,"0,19","2,80","1,35","0,00","0,10","3,18",92%,"6,27","13,70",7.19,560M R$ - 680M R$,,Muito Forte,Razoável,NOR,,178 cm,Profissional,-,-,1-3,4-6,13,16,8,1-2,16-19,13,10,9,13-15,1-3,15,1-2,13-15,14,17,7-9,15,15,1-2,12,16,11,16,9,14,1-3,1-3,5-7,14,14-17,9-11,10,17,2-5,8-11,17,3-6,14,15,17,17,17,1-3,13,18
49056243,,Eduardo Camavinga - Francês,Real Madrid - La Liga Santander,"MD, M (C)",Médio Recuperador de Bolas,20,6,0,"1,09","0,20","1,49","0,56",38%,1,"0,47","0,09","54,60","6,15","1,68",85%,-,-,-,"0,00","0,75","1,49","0,75","0,00","2,42",72%,"4,10","13,79",7.22,670M R$ - 810M R$,,Muito Forte,Razoável,FRA,CGO,182 cm,Bastante Profissional,-,-,3,1,15,14,15,3,17,16,14,12,6,1,14,3,13,11,14,15,14,15,1,10,12,17,13,12,17,1,4,11,13,6,14,8,15,1,16,14,2,9,18,14,15,15,3,16,14
28106491,,Declan Rice - Inglês,Arsenal - Premier League,"D (C), MD, M (C)",Médio Centro,24,10,1,"1,18","0,12","1,32","0,61",46%,4,"1,93","0,20","53,96","3,34","0,91",87%,-,-,-,"0,10","0,51","0,61","0,20","0,00","1,92",66%,"3,95","14,38",7.27,"1,33MM R$ - 1,46MM R$",,Razoável,Muito Forte,ENG,IRL,185 cm,Decidido,-,-,1-3,1-4,14,13,13,1-2,14-16,18,14,12,5-7,1-4,17,1-4,13-15,11,14-17,17,17,13,1-2,9,14,13,10,13,17,3-5,3-6,9-12,16,7-9,12-14,10-12,15,3-5,17,14,1-2,9,17,16,14,16,1-3,13,15
37060600,,Ferdi Kadıoğlu - Turco,Tottenham - Premier League,"D/DA (DE), MD, M (C), MO (D)",Mezzala,23,9,1,"1,18","0,15","0,76","0,25",33%,0,"1,34","0,17","47,71","4,80","0,88",91%,-,-,-,"0,13","0,63","1,26","0,00","0,13","1,77",61%,"4,54","13,88",6.96,240M R$ - 370M R$,,Razoável,Muito Forte,TUR,NED,174 cm,Cheio de Energia,-,-,1-3,1-2,15,13,14,2-5,11,16,12,8,9-11,1-2,12,1-3,11,11-13,12,13,15,12,1-2,10-13,15,11,13-15,7,13,1-3,2-4,10-12,10,8-11,10,9-11,15,1-2,8,12,1-4,12,14,12,14,14,1-3,14,13-16
91151081,Ass,Kai Havertz - Alemão,Arsenal - Premier League,"M/MO (C), PL (C)",Construtor de Jogo Avançado,24,12,5,"3,53","0,36","3,02","1,31",43%,4,"1,18","0,12","30,50","2,42","0,91",88%,-,-,-,"0,00","0,50","1,31","0,70","0,00","1,81",86%,"4,43","5,74",7.35,700M R$ - 830M R$,,Muito Forte,Razoável,GER,,191 cm,Alegre,-,-,2-4,1-3,14,13,11,1-3,14-17,16,11,13,10-12,1-2,17,3-5,9-11,12,16,10-12,10,14,2-4,15,14,13,15,15,13,1-2,1-3,7-9,8,9-11,6-8,12,14,2-5,8-10,18,1,12,15,17,17,15,1-2,17,17
78074594,,Federico Valverde - Uruguaio,Real Madrid - La Liga Santander,"MD, M (DC), MO (D)",Médio Área-a-Área,25,6,0,"2,87","0,59","3,49","1,44",41%,1,"0,91","0,19","40,59","4,31","2,05",86%,-,-,-,"0,21","3,28","2,67","0,00","0,00","3,28",89%,"6,15","10,46",7.36,450M R$ - 670M R$,,Bastante Forte,Muito Forte,URU,ESP,181 cm,Bastante Determinado,-,-,1,1-3,17,15,12,1-2,12-15,17,15,12,12-14,3-5,12,1-3,13-15,12,13-15,13,15,15,1-3,13,12,14,14,13,17,2-4,1-2,9-11,13,13-16,12-14,10-13,15,1-4,12,14,1-4,17,17,15,13,17,1-2,17,14
67276122,,Ansu Fati - Espanhol,Brighton - Premier League,"MO (DE), PL (C)",Extremo invertido,20,10,2,"1,99","0,25","2,43","0,89",37%,1,"0,59","0,08","18,38","0,77","1,02",87%,-,-,-,"0,26","0,51","1,15","0,00","0,00","1,02",89%,"2,04","1,53",6.65,165M R$ - 240M R$,,Bastante Forte,Muito Forte,ESP,GNB,178 cm,Cheio de Energia,-,-,1,3,16,17,8,2,14,16,12,11,8,2,14,2,13,14,14,5,16,13,3,16,16,11,19,8,11,1,3,6,9,8,4,12,12,1,5,14,1,14,12,16,16,10,1,15,14
